CO_MUNICIPIO;doc_bas;doc_vinculo_contrat;pct_contratados
2104073;118;36;30.5
2112001;206;78;37.9
2110658;193;106;54.9
2101806;108;40;37
2104107;232;65;28
2107258;97;25;25.8
2106102;277;133;48
2109700;98;54;55.1
2110807;90;49;54.4
2111607;364;176;48.4
2201200;1368;713;52.1
2201770;254;124;48.8
2203701;766;323;42.2
2201507;562;236;42
2201960;180;113;62.8
2202059;230;152;66.1
2206670;178;76;42.7
2206696;137;56;40.9
2205409;238;102;42.9
2205458;204;137;67.2
2205805;782;418;53.5
2209971;202;113;55.9
2205854;184;141;76.6
2206100;254;176;69.3
2206209;596;329;55.2
2206803;275;247;89.8
2208403;1361;678;49.8
2205573;162;79;48.8
2208502;330;172;52.1
2202174;217;135;62.2
2201919;140;71;50.7
2202000;541;321;59.3
2202653;125;63;50.4
2202539;99;44;44.4
2202703;602;265;44
2202729;105;58;55.2
2205706;553;252;45.6
2202083;158;68;43
2207702;2417;578;23.9
2204659;166;37;22.3
2208304;470;181;38.5
2209872;95;43;45.3
2210052;85;33;38.8
2207793;82;60;73.2
2200400;880;540;61.4
2201606;316;165;52.2
2202737;102;61;59.8
2205581;63;37;58.7
2203305;307;172;56
2205508;688;198;28.8
2211100;928;459;49.5
2205557;147;74;50.3
2206308;41;15;36.6
2203255;83;61;73.5
2206407;164;92;56.1
2206720;133;17;12.8
2211001;13216;3109;23.5
2200301;277;149;53.8
2206951;74;35;47.3
2202026;242;162;66.9
2202208;943;324;34.4
2202711;113;66;58.4
2205276;139;81;58.3
2206753;207;178;86
2201945;164;90;54.9
2202406;275;131;47.6
2202604;373;238;63.8
2205516;123;87;70.7
2203420;86;58;67.4
2206357;129;22;17.1
2207900;735;371;50.5
2209906;169;87;51.5
2210409;346;212;61.3
2201051;195;115;59
2210656;128;43;33.6
2205540;80;59;73.8
2200103;111;90;81.1
2200202;383;96;25.1
2207108;80;58;72.5
2200509;473;264;55.8
2200608;202;71;35.1
2210979;69;41;59.4
2201002;136;89;65.4
2201408;126;40;31.7
2204105;75;39;52
2204600;76;41;53.9
2205250;96;56;58.3
2207504;323;157;48.6
2207751;96;47;49
2208809;465;312;67.1
2209807;115;46;40
2209450;79;67;84.8
2210508;292;160;54.8
2200905;129;81;62.8
2203503;264;155;58.7
2204006;93;68;73.1
2204709;308;172;55.8
2206902;115;65;56.5
2208106;251;166;66.1
2205599;86;45;52.3
2208601;83;62;74.7
2209153;70;25;35.7
2210383;59;33;55.9
2209609;99;86;86.9
2211308;454;276;60.8
2201176;70;25;35.7
2211407;86;27;31.4
2201150;321;201;62.6
2208908;179;151;84.4
2209203;132;78;59.1
2211209;568;166;29.2
2210631;101;46;45.5
2200806;68;38;55.9
2208551;56;36;64.3
2201705;149;67;45
2202752;158;89;56.3
2203602;86;47;54.7
2205607;159;107;67.3
2205904;122;48;39.3
2200459;136;58;42.6
2206001;85;32;37.6
2202251;102;29;28.4
2203800;108;23;21.3
2203909;1280;275;21.5
2204501;246;140;56.9
2205102;225;79;35.1
2205300;113;42;37.2
2206704;109;12;11
2207850;109;65;59.6
2209005;129;70;54.3
2209708;108;43;39.8
2210391;63;24;38.1
2210102;54;16;29.6
2201309;76;51;67.1
2209757;76;45;59.2
2201903;607;293;48.3
2203230;154;104;67.5
2203107;301;200;66.4
2204402;265;110;41.5
2206605;248;86;34.7
2207405;141;76;53.9
2208700;257;148;57.6
2209302;129;89;69
2205532;89;43;48.3
2200707;229;133;58.1
2201929;79;31;39.2
2207355;55;20;36.4
2202307;361;81;22.4
2210953;62;25;40.3
2201988;71;17;23.9
2202505;194;64;33
2204550;100;50;50
2202851;122;70;57.4
2203354;192;85;44.3
2203453;196;80;40.8
2203750;120;71;59.2
2209559;93;60;64.5
2210359;108;43;39.8
2210607;793;474;59.8
2211357;115;69;60
2206654;85;33;38.8
2201101;160;29;18.1
2202901;673;162;24.1
2210623;90;36;40
2203008;129;82;63.6
2203206;250;52;20.8
2205524;115;56;48.7
2208858;116;62;53.4
2207603;195;57;29.2
2201804;104;41;39.4
2202778;151;82;54.3
2203404;132;51;38.6
2204808;203;119;58.6
2207009;918;446;48.6
2209955;119;70;58.8
2202075;100;88;88
2208007;1529;412;26.9
2210938;108;77;71.3
2204352;89;48;53.9
2200954;91;77;84.6
2207553;144;120;83.3
2211704;138;115;83.3
2209104;171;74;43.3
2209351;95;35;36.8
2209377;90;60;66.7
