CO_MUNICIPIO;doc_bas;doc_fund_ai;doc_fund_af;doc_med;doc_vinculo_contrat;pct_contratados;Anos Finais;Anos Iniciais;Ensino Médio
1720804;217;46;88;50;124;57.1;4.8;5.6;4.3
1720853;25;11;8;8;14;56;4.6;6;4.3
1720903;183;46;97;56;78;42.6;4.9;6.2;4.3
1720937;36;11;16;16;25;69.4;4.3;5.4;3.8
1720978;47;10;18;11;10;21.3;4.2;5.8;4
1721000;2868;834;749;756;909;31.7;5.1;6.2;4.4
1721109;281;108;84;45;246;87.5;3.9;4.4;3.2
1721208;350;92;131;115;209;59.7;4.7;5.7;4.6
1721257;29;7;13;11;20;69;5.3;6.5;4
1721307;31;12;9;10;21;67.7;4.4;5.4;4.2
1722081;115;33;48;18;59;51.3;4.6;5.6;4.4
1722107;140;42;46;21;66;47.1;5.1;5.6;4.1
2100055;1305;345;376;291;670;51.3;4.8;5.7;4
2100105;249;42;98;30;193;77.5;3.8;5.1;3.1
2100154;305;76;105;34;156;51.1;4.7;5.9;3.9
2100204;415;132;134;76;250;60.2;4.3;5.4;3.4
2100303;497;103;174;58;252;50.7;4.2;5.2;3.2
2100402;176;43;63;16;88;50;4.5;5.3;3.3
2100436;353;87;134;49;291;82.4;4;4.7;3.6
2100477;684;171;261;121;475;69.4;5.2;6.6;3.9
2100501;165;57;58;18;55;33.3;5.1;6.5;3.8
2100550;279;101;58;20;221;79.2;4.2;4.9;3.7
2100600;857;209;412;125;598;69.8;3.9;4.6;3.2
2100709;365;68;137;62;288;78.9;5;5.6;3.9
2100808;411;138;115;55;203;49.4;4.1;5.1;3.3
2100832;361;81;118;39;179;49.6;4.6;4.3;3.6
2100873;287;75;81;17;246;85.7;4.1;5.8;3.3
2100907;884;237;285;92;284;32.1;4.1;5.4;3.5
2100956;615;97;318;64;362;58.9;4;5.8;3.5
2101004;681;180;282;66;326;47.9;5.2;6.2;4
